City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
177,basco,20.4487,121.9702,28.09,87,71,10.15,PH,1691628855
178,turner,44.2565,-70.2562,20.98,84,99,0.89,US,1691628855
179,la ronge,55.1001,-105.2842,20.14,45,40,5.66,CA,1691628856
180,port elizabeth,-33.918,25.5701,16.16,82,0,5.14,ZA,1691628661
181,kuqa,41.7278,82.9364,27.26,26,1,1.98,CN,1691628856
182,odienne,9.51,-7.5692,22.07,97,100,2.64,CI,1691628856
183,bac lieu,9.285,105.7244,28.8,75,77,6.36,VN,1691628856
184,san antonio de pale,-1.4014,5.6325,23.62,80,99,5.52,GQ,1691628857
185,caleta de carquin,-11.0925,-77.6267,19.34,82,29,5.03,PE,1691628857
186,mejit,10.2753,170.8646,27.93,69,98,4.72,MH,1691628746
187,regina,50.4501,-104.6178,15.58,84,100,5.66,CA,1691628598
188,laojunmiao,39.8333,97.7333,20.04,58,100,1.4,CN,1691628713
189,ishigaki,24.3448,124.1572,30.07,89,40,3.09,JP,1691628857
190,pathein,16.7833,94.7333,26.23,90,100,2.33,MM,1691628858
191,tuskegee,32.424,-85.6916,28.96,71,100,0.72,US,1691628858
192,faro,37.0194,-7.9322,25.88,41,0,2.06,PT,1691628858
193,burabay,53.0838,70.3138,17.93,49,9,1.74,KZ,1691628858
194,kosh-agach,50.0,88.6667,12.61,72,15,0.99,RU,1691628858
195,hagere maryam,5.6333,38.2333,13.74,93,100,0.92,ET,1691628858
196,khorixas,-20.3667,14.9667,16.14,48,10,0.97,NA,1691628859
197,holdrege,40.4403,-99.3698,27.6,63,0,0.0,US,1691628859
198,montenegro,42.5,19.3,16.86,68,0,2.57,ME,1691628859
199,kyren,51.6828,102.1408,15.45,96,100,0.3,RU,1691628859
200,fisterra,42.9049,-9.2629,20.97,89,76,7.35,ES,1691628859
201,linfen,36.0889,111.5189,28.67,61,3,1.8,CN,1691628860
202,utica,43.1009,-75.2327,20.94,75,44,1.75,US,1691628860
203,timberlake,37.3207,-79.2575,25.11,81,0,0.0,US,1691628860
204,udachny,66.4167,112.4,21.14,46,77,6.0,RU,1691628667
205,p'ot'i,42.1462,41.672,25.11,90,95,2.2,GE,1691628860
206,natal,-5.795,-35.2094,23.36,94,40,4.63,BR,1691628861
207,iskateley,67.6803,53.1512,10.44,87,0,2.5,RU,1691628659
208,glace bay,46.1969,-59.957,18.94,97,100,6.69,CA,1691628697
209,dwarka,22.2394,68.9678,27.2,83,100,8.95,IN,1691628743
210,martapura,-3.4167,114.85,25.05,83,100,0.0,ID,1691628861
211,el calafate,-50.3408,-72.2768,1.48,86,11,1.78,AR,1691628500
212,wenchang,30.904,118.4887,29.0,77,100,1.34,CN,1691628862
213,kapa'a,22.0752,-159.319,32.99,72,40,9.26,US,1691628734
214,el jadid,33.2549,-8.506,22.23,91,8,5.41,MA,1691628686
215,klaksvik,62.2266,-6.589,7.51,79,19,4.19,FO,1691628862
216,hasaki,35.7333,140.8333,31.27,77,100,4.9,JP,1691628417
217,okhotsk,59.3833,143.3,17.92,59,16,3.19,RU,1691628680
218,valderice,38.0401,12.6151,21.55,88,0,1.54,IT,1691628862
219,masterton,-40.9597,175.6575,5.49,98,100,1.62,NZ,1691628863
220,brookings,44.3114,-96.7984,25.19,71,1,3.39,US,1691628533
221,arraial do cabo,-22.9661,-42.0278,20.98,83,36,8.15,BR,1691628695
222,waingapu,-9.6567,120.2641,26.66,65,94,6.91,ID,1691628863
223,basoko,1.2391,23.616,22.14,94,69,1.45,CD,1691628863
224,valle de la pascua,9.2155,-66.0073,24.15,90,100,0.68,VE,1691628864
225,taoudenni,22.6783,-3.9836,36.9,27,8,8.59,ML,1691628864
